police_station,hotspot_count,cumulative_pci,total_violations
Upparpet,1,164709.45,51373
Shivajinagar,3,56019.350000000006,22827
Malleshwaram,4,41313.950000000004,18064
Rajajinagar,11,40549.775,14291
HAL Old Airport,8,31079.300000000003,16963
Vijayanagara,4,22826.500000000004,11501
Mahadevapura,7,14282.900000000001,5715
Chikkajala,5,14279.65,5270
K.R. Pura,4,12586.7,4843
Kodigehalli,9,11672.1,7771
Jeevanbheemanagar,7,11082.75,5200
Byatarayanapura,8,8145.3,3090
Bellandur,11,7525.75,3855
High ground,5,7179.15,3471
Jayanagara,6,7084.65,2577
Basavanagudi,5,6960.05,2924
HSR Layout,12,6943.400000000001,3520
Wilson Garden,11,6837.35,2655
Halasur,5,6450.000000000001,3038
Hulimavu,4,6358.6,2210
Magadi Road,4,6128.25,3073
Cubbon Park,6,5814.75,2014
Adugodi,6,5294.05,2353
Electronic City,8,5262.0,2866
Ashok Nagar,7,5007.85,2776
Hebbala,1,4661.7,3163
Mico Layout,8,4559.45,2182
Pulikeshinagar(F.Town),6,4555.0,2601
Yeshwanthpura,3,3576.3,1642
Halasuru Gate,4,3291.9,921
Madiwala,3,2887.8,622
Sadashivanagar,4,2836.2,1288
R.T. Nagar,6,2596.4,1223
Banashankari,4,2289.4500000000003,994
Yelahanka,4,2181.2000000000003,1193
Banaswadi,6,2094.8,1306
Whitefield,6,1897.7,834
Sheshadripuram,3,1895.9499999999998,889
J.P. Nagar,5,1735.3500000000001,660
Jnanabharathi,3,1507.6000000000001,579
Peenya,4,1368.3000000000002,632
City Market,1,1331.4,384
K.G. Halli,1,1189.8,288
Kamakshipalya,5,1052.9,692
Jalahalli,5,1018.4000000000001,673
Chamarajpet,4,816.75,215
V.V.Puram (C.Pet),4,753.6,319
Chikkabanavara,3,619.4000000000001,214
K.S. Layout,4,556.9,309
Hennuru,4,428.20000000000005,254
Thalagattapura,1,394.0,307
Kengeri,1,252.0,93
